attempt, points, estimate
4, 950, 11.696842105263158
5, 950, 12.353684210526316
6, 950, 12
7, 950, 11.115789473684211
8, 950, 12.303157894736842
9, 950, 12.050526315789474
10, 950, 12.227368421052631
11, 950, 12.07578947368421
12, 950, 12.126315789473685
13, 950, 11.317894736842105
14, 950, 12.40421052631579
15, 950, 11.92421052631579
16, 950, 11.545263157894738
17, 950, 11.92421052631579
18, 950, 12.732631578947368
19, 950, 12.126315789473685
20, 950, 12
21, 950, 12.96
22, 950, 12.530526315789473
23, 950, 12.176842105263157
24, 950, 12.277894736842105
25, 950, 12.126315789473685
26, 950, 11.545263157894738
27, 950, 12.454736842105262
28, 950, 11.393684210526315
29, 950, 11.696842105263158
30, 950, 11.04
31, 950, 11.52
32, 950, 11.621052631578948
33, 950, 12.277894736842105
34, 950, 12.07578947368421
35, 950, 11.317894736842105
36, 950, 11.974736842105264
37, 950, 12.15157894736842
38, 950, 11.317894736842105
39, 950, 11.545263157894738
40, 950, 12.631578947368421
41, 950, 12.101052631578947
42, 950, 12.530526315789473
43, 950, 11.418947368421053
44, 950, 12.530526315789473
45, 950, 11.343157894736843
46, 950, 11.646315789473684
47, 950, 12.227368421052631
48, 950, 12.07578947368421
49, 950, 12
50, 950, 11.898947368421053
1, 1000, 12.456
2, 1000, 12.384
3, 1000, 11.712
4, 1000, 12.072
5, 1000, 12.048
6, 1000, 11.832
7, 1000, 11.976
8, 1000, 11.544
9, 1000, 12.216
10, 1000, 11.52
11, 1000, 12.36
12, 1000, 12.576
13, 1000, 12.144
14, 1000, 11.664
15, 1000, 11.88
16, 1000, 11.064
17, 1000, 12.12
18, 1000, 11.376
19, 1000, 11.88
20, 1000, 12.456
21, 1000, 11.952
22, 1000, 11.64
23, 1000, 12.072
24, 1000, 12.456
25, 1000, 12.12
26, 1000, 12.168
27, 1000, 12.312
28, 1000, 11.472
29, 1000, 12.384
30, 1000, 12.024
31, 1000, 11.808
32, 1000, 12.792
33, 1000, 12
34, 1000, 11.856
35, 1000, 11.4
36, 1000, 11.448
37, 1000, 12.288
38, 1000, 12.336
39, 1000, 12.288
40, 1000, 11.76
41, 1000, 11.616
42, 1000, 13.008
43, 1000, 11.424
44, 1000, 12.6
45, 1000, 12.312
46, 1000, 12.216
47, 1000, 12.288
48, 1000, 12.12
49, 1000, 11.976
50, 1000, 11.952
1, 1050, 11.2
2, 1050, 12.617142857142857
3, 1050, 12.548571428571428
4, 1050, 11.794285714285714
5, 1050, 11.977142857142857
6, 1050, 12.045714285714286
7, 1050, 12.32
8, 1050, 11.977142857142857
9, 1050, 12.411428571428571
10, 1050, 11.565714285714286
11, 1050, 11.954285714285714
12, 1050, 11.657142857142857
13, 1050, 11.634285714285713
14, 1050, 11.36
15, 1050, 12.06857142857143
16, 1050, 11.474285714285715
17, 1050, 11.748571428571429
18, 1050, 11.862857142857143
19, 1050, 11.817142857142857
20, 1050, 12
21, 1050, 12.411428571428571
22, 1050, 13.051428571428572
23, 1050, 12.182857142857143
24, 1050, 12.48
25, 1050, 11.611428571428572
26, 1050, 12.64
27, 1050, 11.885714285714286
28, 1050, 12.045714285714286
29, 1050, 12.731428571428571
30, 1050, 11.954285714285714
31, 1050, 12.022857142857143
32, 1050, 12.182857142857143
33, 1050, 12.045714285714286
34, 1050, 11.451428571428572
35, 1050, 11.84
36, 1050, 11.68
